iter	Passed	Remaining
400	21181	46588
401	21235	46537
402	21288	46485
403	21339	46429
404	21393	46379
405	21448	46330
406	21504	46284
407	21559	46236
408	21612	46183
409	21667	46135
410	21677	45992
411	21731	45941
412	21786	45893
413	21841	45846
414	21895	45796
415	21947	45741
416	22000	45689
417	22055	45641
418	22110	45592
419	22163	45541
420	22219	45495
421	22276	45449
422	22329	45398
423	22383	45348
424	22437	45298
425	22493	45250
426	22549	45204
427	22603	45154
428	22657	45103
429	22711	45053
430	22763	44999
431	22821	44956
432	22876	44907
433	22930	44856
434	22985	44808
435	23040	44760
436	23093	44706
437	23149	44660
438	23204	44612
439	23257	44559
440	23310	44507
441	23368	44463
442	23426	44419
443	23479	44367
444	23531	44313
445	23587	44267
446	23644	44220
447	23697	44168
448	23752	44119
449	23805	44066
450	23863	44024
451	23918	43973
452	23970	43920
453	24026	43872
454	24081	43823
455	24134	43770
456	24191	43723
457	24242	43667
458	24298	43619
459	24351	43567
460	24405	43516
461	24460	43468
462	24515	43418
463	24570	43368
464	24626	43321
465	24681	43272
466	24734	43219
467	24789	43170
468	24846	43123
469	24902	43076
470	24957	43026
471	25013	42977
472	25068	42928
473	25122	42877
474	25177	42827
475	25231	42776
476	25287	42729
477	25341	42678
478	25395	42626
479	25448	42572
480	25504	42525
481	25558	42472
482	25612	42421
483	25665	42369
484	25718	42315
485	25772	42265
486	25827	42215
487	25880	42162
488	25934	42109
489	25989	42059
490	26042	42006
491	26099	41960
492	26152	41907
493	26206	41855
494	26261	41805
495	26318	41758
496	26371	41706
497	26425	41654
498	26479	41602
499	26531	41548
500	26586	41498
501	26639	41445
502	26695	41395
503	26750	41346
504	26802	41292
505	26858	41242
506	26912	41191
507	26966	41139
508	27018	41085
509	27072	41034
510	27125	40979
511	27178	40927
512	27232	40875
513	27286	40823
514	27338	40768
515	27391	40716
516	27447	40666
517	27501	40615
518	27554	40562
519	27608	40510
520	27661	40457
521	27716	40406
522	27769	40353
523	27822	40299
524	27878	40251
525	27931	40198
526	27984	40145
527	28042	40098
528	28095	40046
529	28151	39996
530	28205	39944
531	28260	39893
532	28314	39842
533	28368	39790
534	28424	39741
535	28476	39686
536	28531	39636
537	28586	39584
538	28642	39535
539	28696	39484
540	28750	39432
541	28805	39381
542	28858	39328
543	28913	39278
544	28966	39224
545	29020	39172
546	29072	39117
547	29126	39065
548	29178	39010
549	29230	38956
550	29285	38905
551	29339	38853
552	29395	38803
553	29447	38749
554	29499	38694
555	29555	38645
556	29607	38590
557	29661	38538
558	29713	38484
559	29769	38434
560	29824	38383
561	29877	38330
562	29935	38283
563	29988	38229
564	30043	38178
565	30099	38129
566	30152	38075
567	30208	38025
568	30264	37976
569	30318	37925
570	30371	37871
571	30427	37821
572	30483	37771
573	30539	37721
574	30592	37668
575	30647	37617
576	30703	37568
577	30758	37516
578	30812	37464
579	30865	37410
580	30919	37358
581	30971	37304
582	31028	37255
583	31080	37200
584	31137	37151
585	31191	37099
586	31243	37045
587	31299	36994
588	31352	36941
589	31404	36887
590	31461	36838
591	31517	36787
592	31573	36738
593	31628	36686
594	31683	36635
595	31737	36583
596	31792	36532
597	31845	36478
598	31900	36427
599	31956	36377
600	32010	36324
601	32064	36272
602	32119	36221
603	32174	36169
604	32226	36114
605	32280	36062
606	32334	36010
607	32388	35957
608	32445	35908
609	32498	35855
610	32553	35803
611	32607	35750
612	32660	35697
613	32715	35645
614	32768	35592
615	32821	35538
616	32875	35486
617	32929	35433
618	32983	35381
619	33037	35328
620	33093	35278
621	33146	35224
622	33200	35172
623	33256	35121
624	33311	35070
625	33366	35018
626	33423	34969
627	33472	34911
628	33529	34861
629	33585	34811
630	33639	34758
631	33691	34704
632	33745	34651
633	33801	34601
634	33856	34549
635	33912	34498
636	33966	34446
637	34021	34394
638	34078	34344
639	34133	34293
640	34185	34239
641	34241	34188
642	34296	34136
643	34350	34084
644	34407	34033
645	34458	33978
646	34513	33926
647	34570	33877
648	34624	33824
649	34678	33771
650	34734	33720
651	34788	33668
652	34839	33612
653	34890	33557
654	34945	33505
655	35000	33452
656	35053	33399
657	35104	33344
658	35158	33291
659	35214	33240
660	35267	33186
661	35324	33136
662	35380	33086
663	35433	33031
664	35486	32978
665	35542	32927
666	35598	32876
667	35653	32825
668	35707	32771
669	35762	32719
670	35814	32665
671	35866	32610
672	35921	32559
673	35975	32505
674	36029	32453
675	36084	32401
676	36139	32349
677	36195	32297
678	36249	32245
679	36306	32194
680	36361	32143
681	36415	32090
682	36468	32036
683	36523	31985
684	36576	31931
685	36630	31878
686	36684	31824
687	36739	31772
688	36792	31719
689	36844	31665
690	36900	31614
691	36954	31560
692	37006	31506
693	37062	31454
694	37115	31401
695	37169	31348
696	37222	31294
697	37278	31243
698	37334	31192
699	37386	31137
700	37439	31083
701	37493	31031
702	37548	30978
703	37602	30925
704	37655	30871
705	37711	30820
706	37764	30767
707	37818	30714
708	37870	30659
709	37923	30606
710	37978	30554
711	38036	30503
712	38090	30451
713	38146	30399
714	38201	30347
715	38255	30294
716	38311	30242
717	38363	30188
718	38413	30132
719	38468	30080
720	38525	30029
721	38581	29977
722	38632	29922
723	38687	29870
724	38743	29819
725	38797	29766
726	38853	29714
727	38907	29661
728	38963	29609
729	39017	29557
730	39071	29504
731	39126	29451
732	39183	29400
733	39234	29345
734	39285	29290
735	39340	29238
736	39394	29185
737	39448	29132
738	39502	29078
739	39556	29026
740	39610	28973
741	39666	28921
742	39718	28866
743	39776	28816
744	39828	28762
745	39882	28708
746	39938	28657
747	39991	28603
748	40046	28551
749	40104	28500
750	40157	28446
751	40211	28393
752	40265	28340
753	40320	28288
754	40374	28235
755	40429	28182
756	40484	28130
757	40537	28077
758	40588	28021
759	40644	27969
760	40700	27918
761	40755	27865
762	40810	27812
763	40863	27759
764	40918	27706
765	40970	27652
766	41025	27600
767	41078	27546
768	41133	27493
769	41188	27441
770	41240	27386
771	41297	27335
772	41353	27283
773	41407	27230
774	41463	27178
775	41519	27127
776	41575	27074
777	41629	27021
778	41681	26967
779	41735	26914
780	41789	26860
781	41842	26806
782	41896	26753
783	41950	26700
784	42005	26648
785	42060	26595
786	42114	26542
787	42168	26489
788	42221	26435
789	42275	26382
790	42330	26329
791	42383	26275
792	42437	26222
793	42494	26171
794	42548	26117
795	42604	26065
796	42657	26011
797	42709	25957
798	42763	25904
799	42818	25851
800	42873	25799
801	42924	25744
802	42979	25691
803	43037	25640
804	43091	25587
805	43146	25534
806	43203	25483
807	43259	25430
808	43312	25377
809	43366	25323
810	43421	25271
811	43477	25219
812	43531	25165
813	43586	25113
814	43640	25059
815	43693	25005
816	43746	24952
817	43801	24899
818	43855	24846
819	43907	24791
820	43962	24738
821	44018	24686
822	44072	24633
823	44124	24579
824	44180	24526
825	44235	24474
826	44289	24420
827	44345	24368
828	44400	24315
829	44457	24264
830	44508	24209
831	44564	24156
832	44618	24103
833	44675	24052
834	44731	23999
835	44784	23945
836	44838	23892
837	44897	23841
838	44952	23788
839	45008	23736
840	45066	23685
841	45128	23636
842	45182	23583
843	45236	23529
844	45291	23476
845	45345	23423
846	45400	23370
847	45455	23317
848	45509	23263
849	45564	23211
850	45622	23159
851	45677	23106
852	45730	23052
853	45785	23000
854	45842	22948
855	45895	22894
856	45948	22840
857	46003	22787
858	46061	22735
859	46117	22683
860	46170	22629
861	46225	22576
862	46279	22523
863	46333	22469
864	46387	22416
865	46443	22363
866	46496	22309
867	46552	22257
868	46606	22203
869	46661	22150
870	46713	22096
871	46766	22042
872	46821	21989
873	46875	21935
874	46932	21884
875	46982	21828
876	47038	21776
877	47094	21723
878	47151	21671
879	47206	21618
880	47260	21565
881	47316	21512
882	47371	21459
883	47423	21405
884	47480	21352
885	47535	21299
886	47590	21246
887	47645	21193
888	47698	21139
889	47752	21086
890	47806	21032
891	47861	20979
892	47912	20924
893	47963	20869
894	48020	20817
895	48077	20765
896	48132	20712
897	48186	20659
898	48244	20607
899	48302	20555
900	48358	20502
901	48410	20448
902	48468	20396
903	48522	20342
904	48577	20289
905	48632	20236
906	48687	20183
907	48741	20130
908	48796	20076
909	48849	20023
910	48905	19969
911	48961	19917
912	49015	19863
913	49069	19810
914	49123	19756
915	49177	19703
916	49233	19650
917	49289	19597
918	49341	19543
919	49397	19490
920	49455	19438
921	49509	19385
922	49566	19332
923	49618	19278
924	49673	19224
925	49726	19170
926	49780	19117
927	49833	19063
928	49887	19009
929	49940	18955
930	49996	18903
931	50051	18849
932	50105	18796
933	50160	18743
934	50226	18693
935	50292	18644
936	50346	18591
937	50400	18537
938	50450	18482
939	50505	18428
940	50560	18375
941	50614	18322
942	50668	18268
943	50723	18215
944	50777	18161
945	50832	18108
946	50885	18054
947	50939	18000
948	50995	17947
949	51049	17894
950	51101	17840
951	51156	17786
952	51210	17733
953	51266	17679
954	51319	17625
955	51376	17573
956	51428	17518
957	51484	17466
958	51538	17412
959	51593	17358
960	51648	17305
961	51701	17251
962	51755	17198
963	51810	17144
964	51867	17092
965	51924	17039
966	51980	16986
967	52036	16933
968	52090	16879
969	52146	16826
970	52199	16772
971	52254	16719
972	52308	16665
973	52359	16611
974	52413	16557
975	52470	16504
976	52524	16450
977	52578	16397
978	52629	16342
979	52682	16288
980	52737	16235
981	52793	16182
982	52846	16128
983	52900	16074
984	52957	16021
985	53011	15968
986	53064	15914
987	53120	15860
988	53173	15806
989	53230	15753
990	53281	15699
991	53336	15646
992	53392	15593
993	53450	15540
994	53507	15487
995	53559	15433
996	53613	15379
997	53669	15326
998	53724	15273
999	53779	15219
1000	53835	15166
1001	53890	15113
1002	53946	15059
1003	53998	15005
1004	54054	14952
1005	54109	14898
1006	54163	14845
1007	54217	14791
1008	54273	14738
1009	54326	14684
1010	54381	14630
1011	54436	14577
1012	54490	14523
1013	54545	14470
1014	54600	14416
1015	54653	14362
1016	54705	14308
1017	54757	14254
1018	54812	14200
1019	54872	14148
1020	54925	14094
1021	54980	14040
1022	55032	13986
1023	55088	13933
1024	55144	13880
1025	55200	13827
1026	55260	13774
1027	55313	13720
1028	55366	13666
1029	55421	13613
1030	55476	13559
1031	55531	13506
1032	55587	13452
1033	55641	13399
1034	55696	13345
1035	55752	13292
1036	55805	13238
1037	55860	13184
1038	55914	13131
1039	55970	13077
1040	56031	13025
1041	56095	12974
1042	56157	12922
1043	56217	12869
1044	56275	12816
1045	56330	12763
1046	56384	12709
1047	56440	12656
1048	56493	12602
1049	56549	12548
1050	56604	12495
1051	56660	12441
1052	56717	12388
1053	56771	12334
1054	56824	12280
1055	56880	12227
1056	56936	12173
1057	56991	12120
1058	57046	12066
1059	57102	12013
1060	57157	11959
1061	57212	11905
1062	57268	11852
1063	57324	11798
1064	57378	11745
1065	57430	11690
1066	57485	11637
1067	57539	11583
1068	57594	11529
1069	57650	11476
1070	57707	11422
1071	57764	11369
1072	57818	11315
1073	57871	11261
1074	57927	11208
1075	57981	11154
1076	58035	11100
1077	58091	11047
1078	58146	10993
1079	58199	10939
1080	58254	10885
1081	58311	10832
1082	58363	10778
1083	58419	10724
1084	58477	10671
1085	58533	10617
1086	58589	10564
1087	58642	10510
1088	58699	10457
1089	58756	10403
1090	58812	10350
1091	58867	10296
1092	58923	10242
1093	58978	10189
1094	59034	10135
1095	59091	10082
1096	59147	10028
1097	59202	9974
1098	59256	9920
1099	59310	9867
1100	59367	9813
1101	59421	9759
1102	59474	9705
1103	59527	9651
1104	59580	9597
1105	59635	9543
1106	59690	9490
1107	59748	9436
1108	59805	9383
1109	59857	9329
1110	59910	9275
1111	59966	9221
1112	60023	9167
1113	60075	9113
1114	60128	9059
1115	60183	9005
1116	60237	8952
1117	60293	8898
1118	60346	8844
1119	60402	8790
1120	60458	8737
1121	60511	8683
1122	60563	8628
1123	60619	8575
1124	60673	8521
1125	60725	8467
1126	60779	8413
1127	60835	8359
1128	60892	8305
1129	60944	8251
1130	61000	8198
1131	61057	8144
1132	61112	8090
1133	61167	8036
1134	61223	7983
1135	61276	7929
1136	61330	7875
1137	61385	7821
1138	61438	7767
1139	61493	7713
1140	61550	7660
1141	61603	7606
1142	61657	7552
1143	61714	7498
1144	61767	7444
1145	61825	7390
1146	61879	7337
1147	61932	7283
1148	61988	7229
1149	62043	7175
1150	62098	7121
1151	62151	7067
1152	62205	7013
1153	62259	6959
1154	62318	6906
1155	62373	6852
1156	62428	6798
1157	62485	6744
1158	62542	6691
1159	62596	6637
1160	62654	6583
1161	62709	6529
1162	62764	6476
1163	62822	6422
1164	62879	6368
1165	62932	6314
1166	62986	6260
1167	63042	6207
1168	63096	6153
1169	63149	6099
1170	63201	6044
1171	63255	5990
1172	63311	5937
1173	63367	5883
1174	63420	5829
1175	63475	5775
1176	63528	5721
1177	63581	5667
1178	63637	5613
1179	63690	5559
1180	63745	5505
1181	63798	5451
1182	63855	5397
1183	63909	5343
1184	63964	5289
1185	64019	5236
1186	64075	5182
1187	64130	5128
1188	64185	5074
1189	64239	5020
1190	64292	4966
1191	64347	4912
1192	64401	4858
1193	64459	4804
1194	64514	4750
1195	64570	4697
1196	64626	4643
1197	64680	4589
1198	64732	4535
1199	64787	4481
1200	64840	4427
1201	64896	4373
1202	64950	4319
1203	65004	4265
1204	65057	4211
1205	65114	4157
