iter	RMSE
0	0.07458281667
1	0.07370882389
2	0.07283350849
3	0.07202106641
4	0.07117497923
5	0.0703778299
6	0.06955431811
7	0.06873613959
8	0.06789982153
9	0.06710084144
10	0.06631412901
11	0.06555366382
12	0.06485238973
13	0.06413275556
14	0.06336631623
15	0.06271777174
16	0.06202328486
17	0.06130125586
18	0.06061553565
19	0.05991474493
20	0.05924857445
21	0.05860977331
22	0.05796541743
23	0.05730595181
24	0.05670836156
25	0.05607377929
26	0.05545281183
27	0.05486872314
28	0.05430841942
29	0.05374661997
30	0.05316953443
31	0.05261984636
32	0.05213319167
33	0.05161221287
34	0.05107037745
35	0.05059808458
36	0.05007452277
37	0.04959768739
38	0.04907506601
39	0.04856471456
40	0.04811583828
41	0.04763903171
42	0.04718977905
43	0.04674299707
44	0.04628429238
45	0.04584264324
46	0.0454096419
47	0.04499960803
48	0.04461545706
49	0.04420771573
50	0.04378917563
51	0.04337771241
52	0.04302402806
53	0.04262653854
54	0.04223788434
55	0.04188895843
56	0.04154711975
57	0.04120272231
58	0.04083927785
59	0.04049721023
60	0.04013246965
61	0.03981009636
62	0.03948433817
63	0.03917116983
64	0.03883802071
65	0.03854177843
66	0.03827552491
67	0.03797648996
68	0.03766463221
69	0.03738587288
70	0.03709296614
71	0.0368217771
72	0.03654900215
73	0.03626817212
74	0.03597947756
75	0.03569908445
76	0.03540896085
77	0.0351646197
78	0.03489793994
79	0.03463274035
80	0.03443822439
81	0.03418798169
82	0.03395280998
83	0.03373593721
84	0.03354807669
85	0.0333344158
86	0.03312725097
87	0.03293714395
88	0.03272788478
89	0.03251363012
90	0.03231651133
91	0.03212033529
92	0.0319205238
93	0.03173992349
94	0.03152740683
95	0.0313631255
96	0.0311657399
97	0.03098505346
98	0.0308081306
99	0.03058721724
100	0.03041967934
101	0.03025061614
102	0.03007746171
103	0.02990362176
104	0.02972715744
105	0.02956882635
106	0.02941150498
107	0.02928306057
108	0.02913670516
109	0.02894796899
110	0.02880069094
111	0.02866006755
112	0.02851321758
113	0.02838449598
114	0.02825424191
115	0.02812461473
116	0.02799771107
117	0.02786856832
118	0.02774156364
119	0.02761064632
120	0.02744153325
121	0.02730034991
122	0.02718930161
123	0.02706741358
124	0.02696997766
125	0.02686307181
126	0.02677874876
127	0.02667841108
128	0.02658787968
129	0.02648520485
130	0.02639364203
131	0.02628187142
132	0.0261793571
133	0.02609131117
134	0.0259722122
135	0.02588856951
136	0.02579795688
137	0.02570232618
138	0.02561014474
139	0.02553585443
140	0.02544297737
141	0.02537599475
142	0.02527899855
143	0.02520680135
144	0.02512949747
145	0.02504812317
146	0.02495634515
147	0.02487800664
148	0.02479681529
149	0.02472732549
150	0.02465766335
151	0.02459616998
152	0.02453265201
153	0.02446620214
154	0.02438854229
155	0.02432179996
156	0.02424228066
157	0.02418605622
158	0.02412189805
159	0.02405906726
160	0.0240056699
161	0.0239236839
162	0.02386132155
163	0.02379378299
164	0.02370532293
165	0.02364352318
166	0.02357669052
167	0.0235299021
168	0.02346057293
169	0.02340233075
170	0.02334564881
171	0.02329253627
172	0.0232232266
173	0.02316943642
174	0.02312648938
175	0.02307567073
176	0.02302092813
177	0.02296873091
178	0.02290783411
179	0.02285333889
180	0.022783418
181	0.0227200107
182	0.0226772837
183	0.0226266499
184	0.0225748079
185	0.02252952253
186	0.0224814081
187	0.02244630672
188	0.02238231226
189	0.02232400813
190	0.02228561401
191	0.0222465772
192	0.02221445741
193	0.02217356117
194	0.02212482565
195	0.02207151542
196	0.02204275038
197	0.0220007108
198	0.02197097011
199	0.02191910703
200	0.02187709181
201	0.02184736091
202	0.02181010667
203	0.02178063275
204	0.02174008316
205	0.02170517028
206	0.02166442653
207	0.02163287409
208	0.02160460298
209	0.02157719612
210	0.02154678953
211	0.02149928576
212	0.02146349775
213	0.02143783712
214	0.02140955243
215	0.02138575713
216	0.0213601843
217	0.02132336491
218	0.02129324611
219	0.02126667219
220	0.02123015418
221	0.02120036721
222	0.02116621949
223	0.02114424613
224	0.02110961145
225	0.02107321802
226	0.02104862321
227	0.02102422418
228	0.02099387534
229	0.02097002206
230	0.02094234973
231	0.02091877021
232	0.02089371518
233	0.02087297906
234	0.02084899643
235	0.02081251843
236	0.02078787117
237	0.02076658336
238	0.02075104444
239	0.02072451199
240	0.02069934877
241	0.02068057632
242	0.02066323239
243	0.02064386393
244	0.02061551192
245	0.02059499702
246	0.02057456672
247	0.02054817194
248	0.02052848381
249	0.0205008997
250	0.02048224678
251	0.02046373094
252	0.02044637847
253	0.02041186585
254	0.02037689092
255	0.02035004643
256	0.02032706895
257	0.02030673356
258	0.02028359591
259	0.02026241131
260	0.02023004009
261	0.02021081234
262	0.0201952076
263	0.0201748134
264	0.02016407105
265	0.02014670678
266	0.02013166083
267	0.02011762062
268	0.02009132721
269	0.02007532744
270	0.02005888104
271	0.02004515168
272	0.02003093015
273	0.02001245787
274	0.01999906252
275	0.01998078539
276	0.01996431921
277	0.0199506165
278	0.01992927937
279	0.01991441164
280	0.01989514118
281	0.01987153905
282	0.01985911895
283	0.01984712657
284	0.0198265253
285	0.01980436702
286	0.01978334752
287	0.01976996188
288	0.01975674037
289	0.01974286551
290	0.01973067083
291	0.01971203035
292	0.01970177913
293	0.01968945243
294	0.01966763795
295	0.01965562668
296	0.01964648661
297	0.0196361051
298	0.01962369291
299	0.01961591819
300	0.01960229561
301	0.01958310468
302	0.01956413314
303	0.01955412173
304	0.01953954583
305	0.01952284904
306	0.01950528973
307	0.01949694093
308	0.01948628719
309	0.01947511782
310	0.01946917638
311	0.01945967997
312	0.01944765829
313	0.01943130352
314	0.01942358239
315	0.01940727297
316	0.01939679726
317	0.01938375298
318	0.01937311088
319	0.0193663627
320	0.01935404406
321	0.01934301446
322	0.01933888832
323	0.01932977822
324	0.01931765536
325	0.01931012309
326	0.01930446759
327	0.0192881881
328	0.01927630314
329	0.01926565472
330	0.01925324676
331	0.01924095045
332	0.01923183658
333	0.01922011979
334	0.01921293337
335	0.01920547644
336	0.01919344028
337	0.01918177434
338	0.01917395047
339	0.01916370654
340	0.01915367461
341	0.01914039814
342	0.01912935244
343	0.01911820113
344	0.01910983001
345	0.01910032172
346	0.01909295797
347	0.0190730747
348	0.01905959775
349	0.01905035539
350	0.019035952
351	0.01902426642
352	0.01902039463
353	0.01900640216
354	0.01899571483
355	0.01898843953
356	0.0189776801
357	0.0189595287
358	0.01895231432
359	0.01894211289
360	0.01893235431
361	0.01891934148
362	0.01891313305
363	0.01890599537
364	0.01889846923
365	0.01889297681
366	0.01887221329
367	0.01885568326
368	0.01884153255
369	0.01883583082
370	0.01882352404
371	0.01881475216
372	0.0188050122
373	0.01879659455
374	0.01878830743
375	0.01877874285
376	0.01877395407
377	0.01876568597
378	0.01875880596
379	0.0187454163
380	0.01873604317
381	0.01872895698
382	0.01871611858
383	0.01870722072
384	0.01869976435
385	0.0186838885
386	0.01867661832
387	0.01867188634
388	0.01866288964
389	0.01865384548
390	0.01864180546
391	0.01863025622
392	0.01862584467
393	0.01861667415
394	0.01860990738
395	0.01860077564
396	0.0185935271
397	0.01858451325
398	0.01857305964
399	0.01856217246
400	0.01855642229
401	0.01854904628
402	0.01854204584
403	0.01853448076
404	0.01852483349
405	0.01851866506
406	0.01850927175
407	0.01850290944
408	0.01849106929
409	0.01847842678
410	0.01847031487
411	0.0184611787
412	0.01845045826
413	0.01844292661
414	0.01843348053
415	0.01842702326
416	0.01841847577
417	0.01840745925
418	0.0184018038
419	0.01839288176
420	0.01838238928
421	0.0183803539
422	0.01837094625
423	0.01836041122
424	0.01835284422
425	0.01834563115
426	0.01833893862
427	0.01833120261
428	0.01832072908
429	0.01830638551
430	0.01830438424
431	0.01829296011
432	0.01828535083
433	0.01827808464
434	0.01827430005
435	0.01826771077
436	0.01825912288
437	0.01825288865
438	0.01824381408
439	0.01823476492
440	0.0182260542
441	0.01821924664
442	0.01820728509
443	0.01820313113
444	0.01819500203
445	0.01819124162
446	0.01818037717
447	0.01817302862
